title,link,genre,rating,director,top_actors
145. The Boy in the Striped Pajamas,/title/tt0914798/?ref_=sr_t_145,{Drama|War},PG-13,Mark Herman,{Asa Butterfield|David Thewlis|Rupert Friend}
146. Billy Elliot,/title/tt0249462/?ref_=sr_t_146,{Drama|Music},R,Stephen Daldry,{Jamie Bell|Julie Walters|Jean Heywood}
147. Philadelphia,/title/tt0107818/?ref_=sr_t_147,{Drama},PG-13,Jonathan Demme,{Tom Hanks|Denzel Washington|Roberta Maxwell}
148. The Verdict,/title/tt0084855/?ref_=sr_t_148,{Drama},R,Sidney Lumet,{Paul Newman|Charlotte Rampling|Jack Warden}
149. Being John Malkovich,/title/tt0120601/?ref_=sr_t_149,{Comedy|Drama|Fantasy},R,Spike Jonze,{John Cusack|Cameron Diaz|Catherine Keener}
150. The Name of the Rose,/title/tt0091605/?ref_=sr_t_150,{Drama|Mystery|Thriller},R,Jean-Jacques Annaud,{Sean Connery|Christian Slater|Helmut Qualtinger}
151. The Color Purple,/title/tt0088939/?ref_=sr_t_151,{Drama},PG-13,Steven Spielberg,{Danny Glover|Whoopi Goldberg|Oprah Winfrey}
152. Donnie Brasco,/title/tt0119008/?ref_=sr_t_152,{Biography|Crime|Drama},R,Mike Newell,{Al Pacino|Johnny Depp|Michael Madsen}
"153. South Park: Bigger, Longer & Uncut",/title/tt0158983/?ref_=sr_t_153,{Animation|Comedy|Fantasy},R,Trey Parker,{Trey Parker|Matt Stone|Mary Kay Bergman}
154. Happiness,/title/tt0147612/?ref_=sr_t_154,{Comedy|Drama},NC-17,Todd Solondz,{Jane Adams|Jon Lovitz|Philip Seymour Hoffman}
155. Goldfinger,/title/tt0058150/?ref_=sr_t_155,{Action|Adventure|Thriller},Approved,Guy Hamilton,{Sean Connery|Gert Fröbe|Honor Blackman}
156. Clerks,/title/tt0109445/?ref_=sr_t_156,{Comedy},R,Kevin Smith,{Brian O'Halloran|Jeff Anderson|Marilyn Ghigliotti}
157. Star Trek II: The Wrath of Khan,/title/tt0084726/?ref_=sr_t_157,{Action|Adventure|Sci-Fi},PG,Nicholas Meyer,{William Shatner|Leonard Nimoy|DeForest Kelley}
158. The Longest Day,/title/tt0056197/?ref_=sr_t_158,{Action|Drama|History},G,Ken Annakin,{John Wayne|Robert Ryan|Richard Burton}
159. Evil Dead II,/title/tt0092991/?ref_=sr_t_159,{Comedy|Horror},R,Sam Raimi,{Bruce Campbell|Sarah Berry|Dan Hicks}
160. This Is England,/title/tt0480025/?ref_=sr_t_160,{Crime|Drama},Not Rated,Shane Meadows,{Thomas Turgoose|Stephen Graham|Jo Hartley}
161. Paprika,/title/tt0851578/?ref_=sr_t_161,{Animation|Drama|Fantasy},R,Satoshi Kon,{Megumi Hayashibara|Tôru Emori|Katsunosuke Hori}
162. Miller's Crossing,/title/tt0100150/?ref_=sr_t_162,{Crime|Drama|Thriller},R,Joel Coen,{Gabriel Byrne|Albert Finney|John Turturro}
164. Days of Heaven,/title/tt0077405/?ref_=sr_t_164,{Drama|Romance},PG,Terrence Malick,{Richard Gere|Brooke Adams|Sam Shepard}
165. Kung Fu Hustle,/title/tt0373074/?ref_=sr_t_165,{Action|Comedy|Fantasy},R,Stephen Chow,{Stephen Chow|Wah Yuen|Qiu Yuen}
166. The Last Emperor,/title/tt0093389/?ref_=sr_t_166,{Biography|Drama|History},PG-13,Bernardo Bertolucci,{John Lone|Joan Chen|Peter O'Toole}
167. Detachment,/title/tt1683526/?ref_=sr_t_167,{Drama},Not Rated,Tony Kaye,{Adrien Brody|Christina Hendricks|Marcia Gay Harden}
168. Badlands,/title/tt0069762/?ref_=sr_t_168,{Action|Crime|Drama},PG,Terrence Malick,{Martin Sheen|Sissy Spacek|Warren Oates}
169. Serpico,/title/tt0070666/?ref_=sr_t_169,{Biography|Crime|Drama},R,Sidney Lumet,{Al Pacino|John Randolph|Jack Kehoe}
170. Zulu,/title/tt0058777/?ref_=sr_t_170,{Drama|History|War},Approved,Cy Endfield,{Stanley Baker|Jack Hawkins|Ulla Jacobsson}
171. My Fair Lady,/title/tt0058385/?ref_=sr_t_171,{Drama|Family|Musical},G,George Cukor,{Audrey Hepburn|Rex Harrison|Stanley Holloway}
172. Malcolm X,/title/tt0104797/?ref_=sr_t_172,{Biography|Drama|History},PG-13,Spike Lee,{Denzel Washington|Angela Bassett|Delroy Lindo}
173. Wait Until Dark,/title/tt0062467/?ref_=sr_t_173,{Thriller},Approved,Terence Young,{Audrey Hepburn|Alan Arkin|Richard Crenna}
174. Roma,/title/tt6155172/?ref_=sr_t_174,{Drama},R,Alfonso Cuarón,{Yalitza Aparicio|Marina de Tavira|Diego Cortina Autrey}
